laptop_timestamp,timestamp_ms,temp_c,humidity_pct,mq2_adc,flame_state,dht_ok,label,experiment
2026-09-11T15:41:18.926,225678,28.70,75.00,169,0,1,normal,baseline
2026-09-11T15:41:21.411,228187,28.70,75.10,170,0,1,normal,baseline
2026-09-11T15:41:23.895,230696,28.70,75.00,171,0,1,normal,baseline
2026-09-11T15:41:26.379,233205,28.80,75.10,173,0,1,normal,baseline
2026-09-11T15:41:28.864,235714,28.70,75.00,175,0,1,normal,baseline
2026-09-11T15:41:31.332,238222,28.80,75.10,176,0,1,normal,baseline
2026-09-11T15:41:33.815,240731,28.70,75.00,177,0,1,normal,baseline
2026-09-11T15:41:36.300,243240,28.80,74.90,176,0,1,normal,baseline
2026-09-11T15:41:38.784,245749,28.80,75.10,175,0,1,normal,baseline
2026-09-11T15:41:41.269,248257,28.70,74.90,177,0,1,normal,baseline
2026-09-11T15:41:43.753,250766,28.80,74.60,175,0,1,normal,baseline
2026-09-11T15:41:46.237,253275,28.80,74.80,176,0,1,normal,baseline
2026-09-11T15:41:48.721,255784,28.80,74.80,175,0,1,normal,baseline
2026-09-11T15:41:51.206,258292,28.80,74.60,173,0,1,normal,baseline
2026-09-11T15:41:53.690,260801,28.80,74.60,171,0,1,normal,baseline
2026-09-11T15:41:56.174,263310,28.80,74.70,173,0,1,normal,baseline
2026-09-11T15:41:58.658,265819,28.70,74.80,173,0,1,normal,baseline
2026-09-11T15:42:01.143,268327,28.70,74.80,175,0,1,normal,baseline
2026-09-11T15:42:03.627,270836,28.70,74.70,177,0,1,normal,baseline
2026-09-11T15:42:06.111,273345,28.70,74.80,180,0,1,normal,baseline
2026-09-11T15:42:08.595,275854,28.70,74.80,181,0,1,normal,baseline
2026-09-11T15:42:11.080,278363,28.70,74.80,180,0,1,normal,baseline
2026-09-11T15:42:13.564,280872,28.70,74.80,178,0,1,normal,baseline
2026-09-11T15:42:16.048,283380,28.70,75.00,182,0,1,normal,baseline
2026-09-11T15:42:18.533,285889,28.80,75.10,179,0,1,normal,baseline
2026-09-11T15:42:21.016,288398,28.70,75.10,180,0,1,normal,baseline
2026-09-11T15:42:23.501,290907,28.70,75.00,182,0,1,normal,baseline
2026-09-11T15:42:25.985,293416,28.80,75.00,188,0,1,normal,baseline
2026-09-11T15:42:28.470,295925,28.70,74.90,191,0,1,normal,baseline
2026-09-11T15:42:30.953,298433,28.80,75.00,191,0,1,normal,baseline
2026-09-11T15:42:33.438,300942,28.80,80.30,189,0,1,normal,baseline
2026-09-11T15:42:35.922,303451,28.80,77.70,189,0,1,normal,baseline
2026-09-11T15:42:38.406,305959,28.80,76.40,187,0,1,normal,baseline
2026-09-11T15:42:40.891,308468,28.70,75.80,188,0,1,normal,baseline
2026-09-11T15:42:43.375,310977,28.80,75.40,187,0,1,normal,baseline
2026-09-11T15:42:45.858,313486,28.80,75.10,185,0,1,normal,baseline
2026-09-11T15:42:48.343,315994,28.80,74.90,186,0,1,normal,baseline
2026-09-11T15:42:50.828,318503,28.80,74.60,186,0,1,normal,baseline
2026-09-11T15:42:53.312,321012,28.80,74.70,185,0,1,normal,baseline
2026-09-11T15:42:55.796,323520,28.80,74.60,187,0,1,normal,baseline
2026-09-11T15:42:58.280,326029,28.80,74.60,186,0,1,normal,baseline
2026-09-11T15:43:00.764,328538,28.80,74.50,187,0,1,normal,baseline
2026-09-11T15:43:03.249,331046,28.80,74.70,189,0,1,normal,baseline
2026-09-11T15:43:05.733,333555,28.70,74.60,189,0,1,normal,baseline
2026-09-11T15:43:08.217,336064,28.80,74.40,188,0,1,normal,baseline
2026-09-11T15:43:10.701,338572,28.80,74.40,188,0,1,normal,baseline
2026-09-11T15:43:13.186,341081,28.80,74.60,188,0,1,normal,baseline
2026-09-11T15:43:15.669,343590,28.80,74.50,189,0,1,normal,baseline
2026-09-11T15:43:18.154,346098,28.80,74.30,189,0,1,normal,baseline
2026-09-11T15:43:20.639,348607,28.80,74.30,191,0,1,normal,baseline
2026-09-11T15:43:23.122,351116,28.80,74.40,191,0,1,normal,baseline
2026-09-11T15:43:25.607,353624,28.80,74.40,190,0,1,normal,baseline
2026-09-11T15:43:28.091,356133,28.70,74.40,190,0,1,normal,baseline
2026-09-11T15:43:30.560,358642,28.70,74.40,192,0,1,normal,baseline
2026-09-11T15:43:33.044,361151,28.70,74.50,193,0,1,normal,baseline
2026-09-11T15:43:35.528,363660,28.70,74.30,196,0,1,normal,baseline
2026-09-11T15:43:38.013,366168,28.70,74.30,195,0,1,normal,baseline
2026-09-11T15:43:40.498,368677,28.80,74.20,196,0,1,normal,baseline
2026-09-11T15:43:42.981,371186,28.80,74.30,195,0,1,normal,baseline
2026-09-11T15:43:45.465,373694,28.80,74.40,192,0,1,normal,baseline
2026-09-11T15:43:47.949,376203,28.70,74.50,191,0,1,normal,baseline
2026-09-11T15:43:50.434,378712,28.70,74.50,190,0,1,normal,baseline
2026-09-11T15:43:52.919,381221,28.70,74.40,191,0,1,normal,baseline
2026-09-11T15:43:55.402,383730,28.60,74.50,192,0,1,normal,baseline
2026-09-11T15:43:57.887,386238,28.70,74.40,193,0,1,normal,baseline
2026-09-11T15:44:00.371,388747,28.70,74.30,193,0,1,normal,baseline
