window_id,source_file,window_start_ms,window_end_ms,window_duration_s,mq2_last,mq2_mean,mq2_std,mq2_min,mq2_max,mq2_range,mq2_delta,mq2_slope_per_s,temp_last,temp_mean,temp_std,temp_delta,temp_slope_per_s,humidity_last,humidity_mean,humidity_std,humidity_delta,humidity_slope_per_s,flame_count,flame_fraction,anomaly_label,label,phase
26,sentinel_data_20260911_153823.csv,702344,724923,22.579,204,203.1,1.1357816691600546,201,205,4,1,0.04428894105141946,28.6,28.580000000000002,0.060000000000000143,0.10000000000000142,0.004428894105142009,74.5,74.5,0.09999999999999716,-0.09999999999999432,-0.004428894105141694,0,0.0,0,normal,
27,sentinel_data_20260911_153823.csv,727432,750011,22.579,201,200.9,1.2206555615733703,199,203,4,-2,-0.08857788210283891,28.6,28.610000000000003,0.02999999999999936,0.0,0.0,74.3,74.38,0.08717797887081406,-0.10000000000000853,-0.004428894105142324,0,0.0,0,normal,
28,sentinel_data_20260911_153823.csv,752520,775099,22.579,202,201.0,1.4142135623730951,198,203,5,1,0.04428894105141946,28.6,28.580000000000005,0.04000000000000057,0.10000000000000142,0.004428894105142009,74.2,74.21,0.05385164807134488,0.0,0.0,0,0.0,0,normal,
29,sentinel_data_20260911_153823.csv,777607,800186,22.579,200,198.6,2.1071307505705477,194,202,8,1,0.04428894105141946,28.6,28.590000000000003,0.030000000000000426,0.0,0.0,74.4,74.39,0.08306623862918064,0.10000000000000853,0.004428894105142324,0,0.0,0,normal,
30,sentinel_data_20260911_153823.csv,802695,825274,22.579,199,198.8,1.077032961426901,196,200,4,0,0.0,28.7,28.630000000000003,0.06403124237432785,0.09999999999999787,0.004428894105141852,74.2,74.35000000000001,0.11180339887498948,-0.20000000000000284,-0.008857788210284018,0,0.0,0,normal,
31,sentinel_data_20260911_153823.csv,827783,850361,22.578,197,197.5,0.5,197,198,1,0,0.0,28.7,28.689999999999998,0.05385164807134461,0.0,0.0,74.0,74.07,0.12688577540449347,-0.29999999999999716,-0.013287270794578669,0,0.0,0,normal,
32,sentinel_data_20260911_153823.csv,852870,875448,22.578,199,196.9,1.374772708486752,195,199,4,0,0.0,28.8,28.78,0.04000000000000057,0.10000000000000142,0.004429090264859661,73.6,73.77000000000001,0.10049875621121111,-0.30000000000001137,-0.013287270794579297,0,0.0,0,normal,
33,sentinel_data_20260911_153823.csv,877956,900533,22.577,197,197.6,0.4898979485566356,197,198,1,-1,-0.04429286441954201,28.8,28.8,0.0,0.0,0.0,73.5,73.61999999999999,0.08717797887081406,-0.09999999999999432,-0.004429286441953949,0,0.0,0,normal,
34,sentinel_data_20260911_153823.csv,903042,925620,22.578,196,196.7,0.6403124237432849,196,198,2,-1,-0.04429090264859598,28.6,28.720000000000006,0.060000000000000143,-0.09999999999999787,-0.004429090264859503,73.7,73.62,0.04000000000000341,0.10000000000000853,0.004429090264859975,0,0.0,0,normal,
35,sentinel_data_20260911_153823.csv,928129,950707,22.578,196,195.6,0.8,194,197,3,0,0.0,28.7,28.679999999999996,0.03999999999999915,0.09999999999999787,0.004429090264859503,73.9,73.66,0.10198039027185882,0.30000000000001137,0.013287270794579297,0,0.0,0,normal,
36,sentinel_data_20260911_153823.csv,953216,975795,22.579,195,195.7,0.7810249675906654,194,197,3,-1,-0.04428894105141946,28.6,28.610000000000003,0.02999999999999936,0.0,0.0,73.7,73.81,0.08306623862918219,0.0,0.0,0,0.0,0,normal,
37,sentinel_data_20260911_153823.csv,978303,1000882,22.579,197,194.4,1.8,192,197,5,2,0.08857788210283891,28.6,28.620000000000005,0.03999999999999915,0.0,0.0,73.9,73.92999999999999,0.04582575694955579,-0.09999999999999432,-0.004428894105141694,0,0.0,0,normal,
38,sentinel_data_20260911_153823.csv,1003391,1025970,22.579,196,196.4,0.4898979485566356,196,197,1,0,0.0,28.6,28.660000000000004,0.048989794855662516,0.0,0.0,73.9,73.77,0.07810249675906757,0.10000000000000853,0.004428894105142324,0,0.0,0,normal,
39,sentinel_data_20260911_164627.csv,90788,113366,22.578,235,237.8,2.5612496949731396,235,243,8,-3,-0.13287270794578793,28.4,28.479999999999997,0.04000000000000057,-0.10000000000000142,-0.004429090264859661,73.4,73.6,0.1,-0.29999999999999716,-0.013287270794578669,0,0.0,0,normal,
