source_file,window_number,mq2_last,temp_last,humidity_last,flame_last,mq2_mean,mq2_std,mq2_min,mq2_max,mq2_range,mq2_delta,mq2_slope_per_s,temp_mean,temp_std,temp_delta,temp_slope_per_s,humidity_mean,humidity_std,humidity_delta,humidity_slope_per_s,flame_count,flame_fraction,critical_count,label,anomaly_label,phase,window_duration_s
sentinel_data_20260911_153823.csv,0,146,28.8,74.9,0,135.6,5.2573757712379665,131,146,15,11,0.555654781228637,28.75,0.05000000000000071,0.0,-0.0007246604218677024,74.99,0.06999999999999601,-0.09999999999999432,-0.00652286828053889,0,0.0,0,normal,0,unknown,22.578000000000003
sentinel_data_20260911_153823.csv,1,143,28.7,74.9,0,142.1,1.445683229480096,140,145,5,2,0.16186201944690454,28.709999999999997,0.05385164807134508,0.0,-0.0026574027951721136,74.78,0.08717797887081535,0.0,0.0019326250625802991,0,0.0,0,normal,0,unknown,22.578000000000003
sentinel_data_20260911_153823.csv,2,145,28.6,75.2,0,142.3,1.676305461424021,140,145,5,2,0.07005791964831219,28.620000000000005,0.05999999999999943,-0.09999999999999787,-0.004831485040242393,75.06,0.12806248474865722,0.4000000000000057,0.011595302189895892,0,0.0,0,normal,0,unknown,22.578999999999994
sentinel_data_20260911_153823.csv,3,144,28.7,75.5,0,145.2,1.1661903789690602,144,147,3,0,-0.004828221522171367,28.590000000000003,0.05385164807134508,0.09999999999999787,0.00024160366571716757,75.27,0.12688577540449728,0.29999999999999716,0.01618571229663274,0,0.0,0,normal,0,unknown,22.579000000000008
sentinel_data_20260911_153823.csv,4,140,28.6,75.1,0,141.5,1.5,140,144,4,-4,-0.18118349032771225,28.600000000000005,0.044721359549995635,0.10000000000000142,0.0009664146628733433,75.22,0.10770329614269267,-0.30000000000001137,-0.01014639101211672,0,0.0,0,normal,0,unknown,22.579000000000008
sentinel_data_20260911_153823.csv,5,138,28.6,74.9,0,138.5,0.9219544457292888,137,140,3,1,-0.021742421497383927,28.610000000000003,0.02999999999999936,0.0,0.001691017313412195,75.14,0.10198039027185547,-0.29999999999999716,-0.004348445783228719,0,0.0,0,normal,0,unknown,22.579000000000008
sentinel_data_20260911_153823.csv,6,171,28.8,75.2,0,152.6,18.2931681236466,135,181,46,32,2.048450296382716,28.68,0.05999999999999943,0.1999999999999993,0.005314471782838519,75.22,0.11661903789690718,0.0,-0.00579744452034065,0,0.0,0,normal,0,unknown,22.579999999999984
sentinel_data_20260911_153823.csv,7,177,28.7,74.9,0,173.9,2.808914381037628,169,177,8,8,0.35028365751732154,28.74,0.04898979485566426,0.0,0.002415827723208431,75.02000000000001,0.07483314773547457,-0.09999999999999432,-0.003865085555243048,0,0.0,0,normal,0,unknown,22.579000000000008
sentinel_data_20260911_153823.csv,8,180,28.7,74.8,0,174.8,2.4,171,180,9,5,0.13045442411127092,28.759999999999998,0.04898979485566426,-0.10000000000000142,-0.005797910208409112,74.72,0.08717797887081438,0.20000000000000284,0.0043486733933186675,0,0.0,0,normal,0,unknown,22.579000000000036
sentinel_data_20260911_153823.csv,9,191,28.8,75.0,0,183.2,4.66476151587624,178,191,13,10,0.5266300206333513,28.73,0.04582575694955905,0.10000000000000142,0.0031403574322284534,74.94999999999999,0.11180339887498884,0.20000000000000284,0.00845467514784894,0,0.0,0,normal,0,unknown,22.579000000000008
sentinel_data_20260911_153823.csv,10,187,28.8,74.6,0,186.9,1.374772708486752,185,189,4,-2,-0.14253615401337374,28.790000000000003,0.030000000000000426,0.0,0.0007247777325947449,75.95000000000002,1.7188659051828332,-5.700000000000003,-0.20365480049489817,0,0.0,0,normal,0,unknown,22.577999999999975
sentinel_data_20260911_153823.csv,11,191,28.8,74.3,0,188.4,1.2806248474865698,186,191,5,5,0.13528859853515907,28.790000000000003,0.030000000000000426,0.0,0.0007247672279949954,74.48999999999998,0.12999999999999906,-0.29999999999999716,-0.01232104287590341,0,0.0,0,normal,0,unknown,22.57800000000003
sentinel_data_20260911_153823.csv,12,192,28.8,74.4,0,193.0,2.23606797749979,190,196,6,1,0.20776567108497143,28.75,0.05000000000000071,0.0,0.0012078257380516923,74.36,0.08000000000000149,0.0,-0.005314818426643732,0,0.0,0,normal,0,unknown,22.57800000000003
sentinel_data_20260911_153823.csv,13,192,28.6,74.4,0,192.1,1.0440306508910548,190,193,3,1,0.10387855778155126,28.690000000000005,0.06999999999999962,-0.09999999999999787,0.0007246499229023002,74.41,0.07000000000000048,-0.09999999999999432,-0.006039494030144602,0,0.0,0,normal,0,unknown,22.579000000000008
sentinel_data_20260911_153823.csv,14,192,28.6,74.6,0,194.0,3.714835124201342,190,201,11,-5,-0.3575314523801053,28.65,0.04999999999999894,-0.09999999999999787,-0.00024160133103378386,74.47,0.10049875621120559,0.19999999999998863,0.0036239044128572578,0,0.0,0,normal,0,unknown,22.579000000000008
sentinel_data_20260911_153823.csv,15,192,28.6,74.6,0,193.8,1.9899748742132397,192,197,5,0,0.05313971065951444,28.610000000000003,0.02999999999999936,0.0,0.00024165093441038486,74.59,0.10440306508910406,0.19999999999998863,0.0021737029222794026,0,0.0,0,normal,0,unknown,22.579000000000008
sentinel_data_20260911_153823.csv,16,200,28.6,74.6,0,193.7,2.6095976701399777,190,200,10,7,0.036238763923276233,28.620000000000005,0.05999999999999942,0.0,0.0009663387925703616,74.47999999999999,0.11661903789690425,0.19999999999998863,0.005797532041787817,0,0.0,0,normal,0,unknown,22.579000000000008
sentinel_data_20260911_153823.csv,17,195,28.7,74.6,0,195.7,2.491987158875422,191,199,8,4,0.03140493404097399,28.639999999999997,0.06633249580710733,0.0,0.0009661427157442623,74.5,0.06324555320336399,0.09999999999999432,0.0009663352895382089,0,0.0,0,normal,0,unknown,22.58000000000004
sentinel_data_20260911_153823.csv,18,196,28.6,74.6,0,193.9,1.044030650891055,192,196,4,3,0.031404706454901656,28.590000000000003,0.05385164807134508,0.0,0.002174065321355829,74.48,0.09797958971132416,0.19999999999998863,0.0038653131561418156,0,0.0,0,normal,0,unknown,22.579000000000008
sentinel_data_20260911_153823.csv,19,193,28.6,74.1,0,194.8,0.9797958971132713,193,197,4,-2,-0.048315328958532855,28.630000000000003,0.04582575694955742,-0.09999999999999787,-0.0012080469211775526,74.34,0.16248076809271803,-0.5,-0.021258567563594438,0,0.0,0,normal,0,unknown,22.57899999999995
sentinel_data_20260911_153823.csv,20,194,28.6,74.2,0,194.3,1.4866068747318506,192,197,5,1,0.07005735947390557,28.640000000000004,0.048989794855662516,0.0,5.731248734513421e-16,74.21000000000001,0.13000000000000048,-0.09999999999999432,0.007972150610264362,0,0.0,0,normal,0,unknown,22.579000000000065
sentinel_data_20260911_153823.csv,21,195,28.7,74.1,0,195.1,0.5385164807134505,194,196,2,0,-0.02657383536071647,28.689999999999998,0.05385164807134461,0.09999999999999787,0.000724765475552104,74.14000000000001,0.04898979485566774,-0.10000000000000853,-0.0048314873749756605,0,0.0,0,normal,0,unknown,22.579000000000065
sentinel_data_20260911_153823.csv,22,196,28.6,73.9,0,195.8,1.077032961426901,194,198,4,0,0.07247192544915891,28.690000000000005,0.05385164807134461,-0.09999999999999787,-0.0026574605711719886,73.91,0.0943398113205655,-0.09999999999999432,-0.005556021745230507,0,0.0,0,normal,0,unknown,22.57899999999995
sentinel_data_20260911_153823.csv,23,195,28.6,74.1,0,194.9,0.9433981132056604,193,196,3,0,-0.03140488735928334,28.620000000000005,0.03999999999999915,0.0,-0.0019325106751975016,73.96000000000001,0.09165151389911655,0.09999999999999432,0.00821356518401971,0,0.0,0,normal,0,unknown,22.57899999999995
sentinel_data_20260911_153823.csv,24,192,28.5,74.4,0,193.1,1.0440306508910548,192,195,3,-3,-0.11837118859520657,28.54,0.04898979485566426,-0.10000000000000142,-0.002898711745757788,74.33,0.10999999999999995,0.20000000000000284,0.012320391551781941,0,0.0,0,normal,0,unknown,22.579000000000065
sentinel_data_20260911_153823.csv,25,205,28.5,74.6,0,205.4,8.845337754998392,192,229,37,13,-0.14976271249891565,28.55,0.05000000000000071,0.0,-0.0016909904697920198,74.54,0.10198039027185546,0.09999999999999432,0.008696439884453178,0,0.0,0,normal,0,unknown,22.58000000000004
sentinel_data_20260911_153823.csv,26,204,28.6,74.5,0,203.1,1.1357816691600546,201,205,4,1,0.11837271176608057,28.580000000000002,0.060000000000000143,0.10000000000000142,0.00628113387872875,74.5,0.09999999999999716,-0.09999999999999432,-0.007247269580016979,0,0.0,0,normal,0,unknown,22.57899999999995
sentinel_data_20260911_153823.csv,27,201,28.6,74.3,0,200.9,1.2206555615733703,199,203,4,-2,-0.021742579091046755,28.610000000000003,0.02999999999999936,0.0,0.0016910552470365831,74.38,0.08717797887081406,-0.10000000000000853,-0.007730356689435661,0,0.0,0,normal,0,unknown,22.57899999999995
sentinel_data_20260911_153823.csv,28,202,28.6,74.2,0,201.0,1.4142135623730951,198,203,5,1,-0.019321675366098398,28.580000000000005,0.04000000000000057,0.10000000000000142,0.0038651824306551417,74.21,0.05385164807134488,0.0,0.002174203633490846,0,0.0,0,normal,0,unknown,22.579000000000065
sentinel_data_20260911_153823.csv,29,200,28.6,74.4,0,198.6,2.1071307505705477,194,202,8,1,-0.0917954098258882,28.590000000000003,0.030000000000000426,0.0,0.00024163984858286214,74.39,0.08306623862918064,0.10000000000000853,0.005556291368077028,0,0.0,0,normal,0,unknown,22.579000000000065
sentinel_data_20260911_153823.csv,30,199,28.7,74.2,0,198.8,1.077032961426901,196,200,4,0,-0.04831333304778116,28.630000000000003,0.06403124237432785,0.09999999999999787,0.002657537606271534,74.35000000000001,0.11180339887498948,-0.20000000000000284,0.003623634790009145,0,0.0,0,normal,0,unknown,22.57899999999995
sentinel_data_20260911_153823.csv,31,197,28.7,74.0,0,197.5,0.5,197,198,1,0,0.01207927869419646,28.689999999999998,0.05385164807134461,0.0,0.00024170112820881643,74.07,0.12688577540449347,-0.29999999999999716,-0.016185886787244103,0,0.0,0,normal,0,unknown,22.577999999999975
sentinel_data_20260911_153823.csv,32,199,28.8,73.6,0,196.9,1.374772708486752,195,199,4,0,0.03623750340981229,28.78,0.04000000000000057,0.10000000000000142,0.0038654929198429526,73.77000000000001,0.10049875621121111,-0.30000000000001137,-0.010871713282676184,0,0.0,0,normal,0,unknown,22.577999999999975
sentinel_data_20260911_153823.csv,33,197,28.8,73.5,0,197.6,0.4898979485566356,197,198,1,-1,-0.04831941444578794,28.8,0.0,0.0,1.5051790341223768e-16,73.61999999999999,0.08717797887081406,-0.09999999999999432,0.0019327919871591774,0,0.0,0,normal,0,unknown,22.576999999999998
sentinel_data_20260911_153823.csv,34,196,28.6,73.7,0,196.7,0.6403124237432849,196,198,2,-1,-0.0217449428755123,28.720000000000006,0.060000000000000143,-0.09999999999999787,-0.003865361014780296,73.62,0.04000000000000341,0.10000000000000853,0.0038653610147800633,0,0.0,0,normal,0,unknown,22.577999999999975
sentinel_data_20260911_153823.csv,35,196,28.7,73.9,0,195.6,0.8,194,197,3,0,-0.024158557388387472,28.679999999999996,0.03999999999999915,0.09999999999999787,0.003382082480050381,73.66,0.10198039027185882,0.30000000000001137,0.006763972369559058,0,0.0,0,normal,0,unknown,22.577999999999975
sentinel_data_20260911_153823.csv,36,195,28.6,73.7,0,195.7,0.7810249675906654,194,197,3,-1,-0.07005783801631295,28.610000000000003,0.02999999999999936,0.0,-0.001690978211937047,73.81,0.08306623862918219,0.0,0.002657075395673879,0,0.0,0,normal,0,unknown,22.57899999999995
sentinel_data_20260911_153823.csv,37,197,28.6,73.9,0,194.4,1.8,192,197,5,2,0.07247339613108816,28.620000000000005,0.03999999999999915,0.0,-0.0014494294046992586,73.92999999999999,0.04582575694955579,-0.09999999999999432,-0.0031404624751177096,0,0.0,0,normal,0,unknown,22.57899999999995
sentinel_data_20260911_153823.csv,38,196,28.6,73.9,0,196.4,0.4898979485566356,196,197,1,0,0.009662757655770033,28.660000000000004,0.048989794855662516,0.0,-0.00289886581372364,73.77,0.07810249675906757,0.10000000000000853,0.004107105319856997,0,0.0,0,normal,0,unknown,22.579000000000065
sentinel_data_20260911_165323.csv,0,211,28.5,73.6,0,212.5,2.8722813232690143,208,217,9,-4,-0.2729832538201624,28.5,0.0,0.0,4.0214193530422767e-16,73.62,0.1077032961426895,-0.10000000000000853,-0.0101463910121174,0,0.0,0,normal,0,unknown,22.578999999999994
sentinel_data_20260911_165323.csv,1,209,28.5,73.4,0,207.1,3.2078029864690882,200,212,12,-1,0.02173991811297914,28.52,0.04000000000000057,-0.10000000000000142,-0.0004831092913991255,73.44,0.048989794855660775,-0.09999999999999432,-0.0033817650397952375,0,0.0,0,normal,0,unknown,22.58099999999999
