source_file,window_number,mq2_last,temp_last,humidity_last,flame_last,mq2_mean,mq2_std,mq2_min,mq2_max,mq2_range,mq2_delta,mq2_slope_per_s,temp_mean,temp_std,temp_delta,temp_slope_per_s,humidity_mean,humidity_std,humidity_delta,humidity_slope_per_s,flame_count,flame_fraction,critical_count,label,anomaly_label,phase,window_duration_s,anomaly_score,prediction
sentinel_data_20260911_153823.csv,0,146,28.8,74.9,0,135.6,5.257375771237967,131,146,15,11,0.555654781228637,28.75,0.0500000000000007,0.0,-0.0007246604218677,74.99,0.069999999999996,-0.0999999999999943,-0.0065228682805388,0,0.0,0,normal,0,unknown,22.578000000000003,3.7183093201043667,0
sentinel_data_20260911_153823.csv,1,143,28.7,74.9,0,142.1,1.445683229480096,140,145,5,2,0.1618620194469045,28.71,0.053851648071345,0.0,-0.0026574027951721,74.78,0.0871779788708153,0.0,0.0019326250625802,0,0.0,0,normal,0,unknown,22.578000000000003,3.3954203437152004,0
sentinel_data_20260911_153823.csv,2,145,28.6,75.2,0,142.3,1.676305461424021,140,145,5,2,0.0700579196483121,28.620000000000005,0.0599999999999994,-0.0999999999999978,-0.0048314850402423,75.06,0.1280624847486572,0.4000000000000057,0.0115953021898958,0,0.0,0,normal,0,unknown,22.578999999999997,4.235765207465072,0
sentinel_data_20260911_153823.csv,3,144,28.7,75.5,0,145.2,1.1661903789690602,144,147,3,0,-0.0048282215221713,28.590000000000003,0.053851648071345,0.0999999999999978,0.0002416036657171,75.27,0.1268857754044972,0.2999999999999971,0.0161857122966327,0,0.0,0,normal,0,unknown,22.579000000000008,3.491063251327571,0
sentinel_data_20260911_153823.csv,4,140,28.6,75.1,0,141.5,1.5,140,144,4,-4,-0.1811834903277122,28.600000000000005,0.0447213595499956,0.1000000000000014,0.0009664146628733,75.22,0.1077032961426926,-0.3000000000000113,-0.0101463910121167,0,0.0,0,normal,0,unknown,22.579000000000008,3.4600678485891505,0
sentinel_data_20260911_153823.csv,5,138,28.6,74.9,0,138.5,0.9219544457292888,137,140,3,1,-0.0217424214973839,28.610000000000003,0.0299999999999993,0.0,0.0016910173134121,75.14,0.1019803902718554,-0.2999999999999971,-0.0043484457832287,0,0.0,0,normal,0,unknown,22.579000000000008,3.43760011805069,0
sentinel_data_20260911_153823.csv,6,171,28.8,75.2,0,152.6,18.2931681236466,135,181,46,32,2.048450296382716,28.68,0.0599999999999994,0.1999999999999993,0.0053144717828385,75.22,0.1166190378969071,0.0,-0.0057974445203406,0,0.0,0,normal,0,unknown,22.579999999999984,6.967995929739198,0
sentinel_data_20260911_153823.csv,7,177,28.7,74.9,0,173.9,2.808914381037628,169,177,8,8,0.3502836575173215,28.74,0.0489897948556642,0.0,0.0024158277232084,75.02000000000001,0.0748331477354745,-0.0999999999999943,-0.003865085555243,0,0.0,0,normal,0,unknown,22.579000000000008,2.4825544259834813,0
sentinel_data_20260911_153823.csv,8,180,28.7,74.8,0,174.8,2.4,171,180,9,5,0.1304544241112709,28.76,0.0489897948556642,-0.1000000000000014,-0.0057979102084091,74.72,0.0871779788708143,0.2000000000000028,0.0043486733933186,0,0.0,0,normal,0,unknown,22.57900000000004,3.602032717866114,0
sentinel_data_20260911_153823.csv,9,191,28.8,75.0,0,183.2,4.66476151587624,178,191,13,10,0.5266300206333513,28.73,0.045825756949559,0.1000000000000014,0.0031403574322284,74.94999999999999,0.1118033988749888,0.2000000000000028,0.0084546751478489,0,0.0,0,normal,0,unknown,22.579000000000008,2.8978345389733167,0
sentinel_data_20260911_153823.csv,10,187,28.8,74.6,0,186.9,1.374772708486752,185,189,4,-2,-0.1425361540133737,28.790000000000003,0.0300000000000004,0.0,0.0007247777325947,75.95000000000002,1.7188659051828332,-5.700000000000003,-0.2036548004948981,0,0.0,0,normal,0,unknown,22.57799999999997,16.817885816427328,1
sentinel_data_20260911_153823.csv,11,191,28.8,74.3,0,188.4,1.2806248474865698,186,191,5,5,0.135288598535159,28.790000000000003,0.0300000000000004,0.0,0.0007247672279949,74.48999999999998,0.129999999999999,-0.2999999999999971,-0.0123210428759034,0,0.0,0,normal,0,unknown,22.57800000000003,2.2393163358966754,0
sentinel_data_20260911_153823.csv,12,192,28.8,74.4,0,193.0,2.23606797749979,190,196,6,1,0.2077656710849714,28.75,0.0500000000000007,0.0,0.0012078257380516,74.36,0.0800000000000014,0.0,-0.0053148184266437,0,0.0,0,normal,0,unknown,22.57800000000003,1.7901326811004674,0
sentinel_data_20260911_153823.csv,13,192,28.6,74.4,0,192.1,1.0440306508910548,190,193,3,1,0.1038785577815512,28.690000000000005,0.0699999999999996,-0.0999999999999978,0.0007246499229023,74.41,0.0700000000000004,-0.0999999999999943,-0.0060394940301446,0,0.0,0,normal,0,unknown,22.579000000000008,2.8482997056381483,0
sentinel_data_20260911_153823.csv,14,192,28.6,74.6,0,194.0,3.714835124201342,190,201,11,-5,-0.3575314523801053,28.65,0.0499999999999989,-0.0999999999999978,-0.0002416013310337,74.47,0.1004987562112055,0.1999999999999886,0.0036239044128572,0,0.0,0,normal,0,unknown,22.579000000000008,2.2219896634915637,0
sentinel_data_20260911_153823.csv,15,192,28.6,74.6,0,193.8,1.98997487421324,192,197,5,0,0.0531397106595144,28.610000000000003,0.0299999999999993,0.0,0.0002416509344103,74.59,0.104403065089104,0.1999999999999886,0.0021737029222794,0,0.0,0,normal,0,unknown,22.579000000000008,1.5943982689164347,0
sentinel_data_20260911_153823.csv,16,200,28.6,74.6,0,193.7,2.6095976701399777,190,200,10,7,0.0362387639232762,28.620000000000005,0.0599999999999994,0.0,0.0009663387925703,74.47999999999999,0.1166190378969042,0.1999999999999886,0.0057975320417878,0,0.0,0,normal,0,unknown,22.579000000000008,1.811129706744785,0
sentinel_data_20260911_153823.csv,17,195,28.7,74.6,0,195.7,2.491987158875422,191,199,8,4,0.0314049340409739,28.64,0.0663324958071073,0.0,0.0009661427157442,74.5,0.0632455532033639,0.0999999999999943,0.0009663352895382,0,0.0,0,normal,0,unknown,22.58000000000004,2.0981565887461593,0
sentinel_data_20260911_153823.csv,18,196,28.6,74.6,0,193.9,1.044030650891055,192,196,4,3,0.0314047064549016,28.590000000000003,0.053851648071345,0.0,0.0021740653213558,74.48,0.0979795897113241,0.1999999999999886,0.0038653131561418,0,0.0,0,normal,0,unknown,22.579000000000008,1.7124323908983041,0
sentinel_data_20260911_153823.csv,19,193,28.6,74.1,0,194.8,0.9797958971132712,193,197,4,-2,-0.0483153289585328,28.630000000000003,0.0458257569495574,-0.0999999999999978,-0.0012080469211775,74.34,0.162480768092718,-0.5,-0.0212585675635944,0,0.0,0,normal,0,unknown,22.57899999999995,2.351590089059282,0
sentinel_data_20260911_153823.csv,20,194,28.6,74.2,0,194.3,1.4866068747318506,192,197,5,1,0.0700573594739055,28.640000000000004,0.0489897948556625,0.0,5.731248734513421e-16,74.21000000000001,0.1300000000000004,-0.0999999999999943,0.0079721506102643,0,0.0,0,normal,0,unknown,22.579000000000065,1.3154623508895473,0
sentinel_data_20260911_153823.csv,21,195,28.7,74.1,0,195.1,0.5385164807134505,194,196,2,0,-0.0265738353607164,28.69,0.0538516480713446,0.0999999999999978,0.0007247654755521,74.14000000000001,0.0489897948556677,-0.1000000000000085,-0.0048314873749756,0,0.0,0,normal,0,unknown,22.579000000000065,2.1235300105063044,0
sentinel_data_20260911_153823.csv,22,196,28.6,73.9,0,195.8,1.077032961426901,194,198,4,0,0.0724719254491589,28.690000000000005,0.0538516480713446,-0.0999999999999978,-0.0026574605711719,73.91,0.0943398113205655,-0.0999999999999943,-0.0055560217452305,0,0.0,0,normal,0,unknown,22.57899999999995,2.4105233418110545,0
sentinel_data_20260911_153823.csv,23,195,28.6,74.1,0,194.9,0.9433981132056604,193,196,3,0,-0.0314048873592833,28.620000000000005,0.0399999999999991,0.0,-0.0019325106751975,73.96000000000001,0.0916515138991165,0.0999999999999943,0.0082135651840197,0,0.0,0,normal,0,unknown,22.57899999999995,1.4855751500648433,0
sentinel_data_20260911_153823.csv,24,192,28.5,74.4,0,193.1,1.0440306508910548,192,195,3,-3,-0.1183711885952065,28.54,0.0489897948556642,-0.1000000000000014,-0.0028987117457577,74.33,0.1099999999999999,0.2000000000000028,0.0123203915517819,0,0.0,0,normal,0,unknown,22.579000000000065,2.3971539166530875,0
sentinel_data_20260911_153823.csv,25,205,28.5,74.6,0,205.4,8.845337754998392,192,229,37,13,-0.1497627124989156,28.55,0.0500000000000007,0.0,-0.001690990469792,74.54,0.1019803902718554,0.0999999999999943,0.0086964398844531,0,0.0,0,normal,0,unknown,22.58000000000004,2.5549077042940325,0
sentinel_data_20260911_153823.csv,26,204,28.6,74.5,0,203.1,1.1357816691600546,201,205,4,1,0.1183727117660805,28.58,0.0600000000000001,0.1000000000000014,0.0062811338787287,74.5,0.0999999999999971,-0.0999999999999943,-0.0072472695800169,0,0.0,0,normal,0,unknown,22.57899999999995,3.3391505684512035,0
sentinel_data_20260911_153823.csv,27,201,28.6,74.3,0,200.9,1.2206555615733703,199,203,4,-2,-0.0217425790910467,28.610000000000003,0.0299999999999993,0.0,0.0016910552470365,74.38,0.087177978870814,-0.1000000000000085,-0.0077303566894356,0,0.0,0,normal,0,unknown,22.57899999999995,1.6674433743876007,0
sentinel_data_20260911_153823.csv,28,202,28.6,74.2,0,201.0,1.4142135623730951,198,203,5,1,-0.0193216753660983,28.580000000000005,0.0400000000000005,0.1000000000000014,0.0038651824306551,74.21,0.0538516480713448,0.0,0.0021742036334908,0,0.0,0,normal,0,unknown,22.579000000000065,2.3057706598733976,0
sentinel_data_20260911_153823.csv,29,200,28.6,74.4,0,198.6,2.107130750570548,194,202,8,1,-0.0917954098258882,28.590000000000003,0.0300000000000004,0.0,0.0002416398485828,74.39,0.0830662386291806,0.1000000000000085,0.005556291368077,0,0.0,0,normal,0,unknown,22.579000000000065,1.4507893708412163,0
sentinel_data_20260911_153823.csv,30,199,28.7,74.2,0,198.8,1.077032961426901,196,200,4,0,-0.0483133330477811,28.630000000000003,0.0640312423743278,0.0999999999999978,0.0026575376062715,74.35000000000001,0.1118033988749894,-0.2000000000000028,0.0036236347900091,0,0.0,0,normal,0,unknown,22.57899999999995,2.567711605267084,0
sentinel_data_20260911_153823.csv,31,197,28.7,74.0,0,197.5,0.5,197,198,1,0,0.0120792786941964,28.69,0.0538516480713446,0.0,0.0002417011282088,74.07,0.1268857754044934,-0.2999999999999971,-0.0161858867872441,0,0.0,0,normal,0,unknown,22.57799999999997,1.7856003921380514,0
sentinel_data_20260911_153823.csv,32,199,28.8,73.6,0,196.9,1.374772708486752,195,199,4,0,0.0362375034098122,28.78,0.0400000000000005,0.1000000000000014,0.0038654929198429,73.77000000000001,0.1004987562112111,-0.3000000000000113,-0.0108717132826761,0,0.0,0,normal,0,unknown,22.57799999999997,2.709162740772766,0
sentinel_data_20260911_153823.csv,33,197,28.8,73.5,0,197.6,0.4898979485566356,197,198,1,-1,-0.0483194144457879,28.8,0.0,0.0,1.5051790341223768e-16,73.61999999999999,0.087177978870814,-0.0999999999999943,0.0019327919871591,0,0.0,0,normal,0,unknown,22.577,3.5415113197107577,0
sentinel_data_20260911_153823.csv,34,196,28.6,73.7,0,196.7,0.6403124237432849,196,198,2,-1,-0.0217449428755123,28.72000000000001,0.0600000000000001,-0.0999999999999978,-0.0038653610147802,73.62,0.0400000000000034,0.1000000000000085,0.00386536101478,0,0.0,0,normal,0,unknown,22.57799999999997,2.9626827874177692,0
sentinel_data_20260911_153823.csv,35,196,28.7,73.9,0,195.6,0.8,194,197,3,0,-0.0241585573883874,28.68,0.0399999999999991,0.0999999999999978,0.0033820824800503,73.66,0.1019803902718588,0.3000000000000113,0.006763972369559,0,0.0,0,normal,0,unknown,22.57799999999997,2.407260169157174,0
sentinel_data_20260911_153823.csv,36,195,28.6,73.7,0,195.7,0.7810249675906654,194,197,3,-1,-0.0700578380163129,28.610000000000003,0.0299999999999993,0.0,-0.001690978211937,73.81,0.0830662386291821,0.0,0.0026570753956738,0,0.0,0,normal,0,unknown,22.57899999999995,1.585176479943469,0
sentinel_data_20260911_153823.csv,37,197,28.6,73.9,0,194.4,1.8,192,197,5,2,0.0724733961310881,28.620000000000005,0.0399999999999991,0.0,-0.0014494294046992,73.92999999999999,0.0458257569495557,-0.0999999999999943,-0.0031404624751177,0,0.0,0,normal,0,unknown,22.57899999999995,1.2219970968287448,0
sentinel_data_20260911_153823.csv,38,196,28.6,73.9,0,196.4,0.4898979485566356,196,197,1,0,0.00966275765577,28.660000000000004,0.0489897948556625,0.0,-0.0028988658137236,73.77,0.0781024967590675,0.1000000000000085,0.0041071053198569,0,0.0,0,normal,0,unknown,22.579000000000065,1.8575271397084658,0
sentinel_data_20260911_165323.csv,0,211,28.5,73.6,0,212.5,2.8722813232690143,208,217,9,-4,-0.2729832538201624,28.5,0.0,0.0,4.0214193530422767e-16,73.62,0.1077032961426895,-0.1000000000000085,-0.0101463910121174,0,0.0,0,normal,0,unknown,22.578999999999997,3.2086652993273224,0
sentinel_data_20260911_165323.csv,1,209,28.5,73.4,0,207.1,3.207802986469088,200,212,12,-1,0.0217399181129791,28.52,0.0400000000000005,-0.1000000000000014,-0.0004831092913991,73.44,0.0489897948556607,-0.0999999999999943,-0.0033817650397952,0,0.0,0,normal,0,unknown,22.58099999999999,1.6962342561032213,0
sentinel_data_20260911_165323.csv,2,208,28.5,73.3,0,207.6,0.4898979485566356,207,208,1,0,-0.0096618240645724,28.52,0.0400000000000005,-0.1000000000000014,-0.0004829564282722,73.41999999999999,0.0599999999999994,-0.1000000000000085,-0.0014494853989039,0,0.0,0,normal,0,unknown,22.581999999999997,1.8361604338358344,0
sentinel_data_20260911_165323.csv,3,212,28.5,73.1,0,213.5,2.6172504656604803,208,218,10,4,0.0555575685109342,28.56,0.0489897948556642,0.0,3.162094644922765e-16,73.34,0.0916515138991208,-0.3000000000000113,-0.0091790765365889,0,0.0,0,normal,0,unknown,22.581000000000017,1.1795186853905728,0
sentinel_data_20260911_165323.csv,4,212,28.5,73.4,0,212.1,0.5385164807134505,211,213,2,-1,0.0024155464570003,28.52,0.0600000000000008,0.0,-0.0038648743311952,73.29999999999998,0.0632455532033684,0.1000000000000085,0.0033817650397957,0,0.0,0,normal,0,unknown,22.581000000000017,2.332749447230794,0
sentinel_data_20260911_165323.csv,5,208,28.4,73.4,0,206.9,1.5132745950421556,205,209,4,-1,-0.0942165003201888,28.49,0.0538516480713458,-0.1000000000000014,-0.0036236908115596,73.52,0.0871779788708114,-0.0999999999999943,-0.0004832948636394,0,0.0,0,normal,0,unknown,22.57899999999998,2.4042569222421535,0
sentinel_data_20260911_165323.csv,6,211,28.5,73.7,0,210.7,0.7810249675906655,209,212,3,2,0.0700597872812957,28.47,0.045825756949559,0.0,-0.0012081385656739,73.63000000000001,0.0458257569495623,0.1000000000000085,0.0041070008661105,0,0.0,0,normal,0,unknown,22.57800000000003,1.2182286426449143,0
sentinel_data_20260911_165323.csv,7,207,28.4,73.7,0,208.4,1.1135528725660042,207,210,3,-3,-0.0193297991387443,28.42,0.0400000000000005,0.0,-0.0024159071010613,73.72,0.0979795897113293,0.1000000000000085,0.0067644089144436,0,0.0,0,normal,0,unknown,22.57800000000003,1.4942185737486182,0
